Rk,Year,Wk,Date,Rk_1,Prev,Chng
1,2025,3,2025-09-07,24,,
2,2025,4,2025-09-14,22,24,2
3,2021,2,2021-09-07,25,,
4,2021,3,2021-09-13,22,25,3
5,2021,4,2021-09-19,23,22,1
6,2021,5,2021-09-26,22,23,1
7,2021,6,2021-10-03,18,22,4
8,2021,8,2021-10-17,19,,
9,2021,9,2021-10-24,18,19,1
10,2021,10,2021-10-31,12,18,6
11,2021,11,2021-11-07,16,12,4
12,2020,1,Preseason,11,NA,—
13,2020,2,2020-09-13,8,11,3
14,2020,3,2020-09-20,8,8,
15,2020,4,2020-09-27,7,8,1
16,2020,5,2020-10-04,13,7,6
17,2020,6,2020-10-11,14,13,1
18,2020,9,2020-11-02,24,,
19,2020,10,2020-11-08,24,24,
20,2020,11,2020-11-15,23,24,1
21,2020,12,2020-11-22,22,23,1
22,2019,1,Preseason,16,NA,—
23,2019,2,2019-09-03,10,16,6
24,2019,3,2019-09-08,8,10,2
25,2019,4,2019-09-15,8,8,
26,2019,5,2019-09-22,7,8,1
27,2019,6,2019-09-29,7,7,
28,2019,7,2019-10-06,12,7,5
29,2019,8,2019-10-14,11,12,1
30,2019,9,2019-10-21,9,11,2
31,2019,10,2019-10-27,11,9,2
32,2019,11,2019-11-03,12,11,1
33,2019,12,2019-11-10,13,12,1
34,2019,13,2019-11-17,16,13,3
35,2019,14,2019-11-24,16,16,
36,2019,15,2019-12-01,11,16,5
37,2019,16,2019-12-08,9,11,2
38,2019,17,Final,14,9,5
39,2018,1,Preseason,9,NA,—
40,2018,2,2018-09-04,7,9,2
41,2018,3,2018-09-09,7,7,
42,2018,4,2018-09-16,9,7,2
43,2018,5,2018-09-23,10,9,1
44,2018,6,2018-09-30,8,10,2
45,2018,7,2018-10-07,21,8,13
46,2017,1,Preseason,12,NA,—
47,2017,2,2017-09-05,13,12,1
48,2017,3,2017-09-10,15,13,2
49,2017,4,2017-09-17,15,15,
50,2017,5,2017-09-24,13,15,2
51,2017,6,2017-10-01,12,13,1
52,2017,7,2017-10-08,10,12,2
53,2017,8,2017-10-15,21,10,11
54,2017,9,2017-10-22,19,21,2
55,2017,10,2017-10-29,16,19,3
56,2017,11,2017-11-05,10,16,6
57,2017,12,2017-11-12,6,10,4
58,2017,13,2017-11-19,6,6,
59,2017,14,2017-11-27,4,6,2
60,2017,15,2017-12-03,7,4,3
61,2017,16,Final,10,7,3
62,2016,7,2016-10-10,23,,
63,2016,8,2016-10-16,21,23,2
64,2016,9,2016-10-23,15,21,6
65,2016,10,2016-10-30,11,15,4
66,2016,11,2016-11-06,8,11,3
67,2016,12,2016-11-13,18,8,10
68,2016,13,2016-11-20,16,18,2
69,2016,14,2016-11-27,18,16,2
70,2016,15,2016-12-04,17,18,1
71,2016,16,Final,24,17,7
72,2015,0,Preseason,6,,
73,2015,1,2015-09-08,6,NA,—
74,2015,2,2015-09-13,18,6,12
75,2014,1,Preseason,6,NA,—
76,2014,2,2014-08-31,5,6,1
77,2014,3,2014-09-07,5,5,
78,2014,4,2014-09-14,5,5,
79,2014,5,2014-09-21,5,5,
80,2014,6,2014-09-28,5,5,
81,2014,7,2014-10-05,2,5,3
82,2014,8,2014-10-12,6,2,4
83,2014,9,2014-10-19,5,6,1
84,2014,10,2014-10-26,4,5,1
85,2014,11,2014-11-02,3,4,1
86,2014,12,2014-11-09,9,3,6
87,2014,13,2014-11-16,16,9,7
88,2014,14,2014-11-23,15,16,1
89,2014,15,2014-11-30,20,15,5
90,2014,16,2014-12-07,19,20,1
91,2014,17,Final,22,19,3
92,2013,8,2013-10-13,24,,
93,2013,9,2013-10-20,11,24,13
94,2013,10,2013-10-27,8,11,3
95,2013,11,2013-11-03,7,8,1
96,2013,12,2013-11-10,7,7,
97,2013,13,2013-11-17,6,7,1
98,2013,14,2013-11-24,4,6,2
99,2013,15,2013-12-01,3,4,1
100,2013,16,2013-12-08,2,3,1
101,2013,17,Final,2,2,
102,2011,1,Preseason,23,NA,—
103,2011,3,2011-09-11,21,,
104,2011,6,2011-10-02,15,,
